"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:11:35,FALSE,NA,"1158953809726459904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceaciliazhrr",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:11:00,FALSE,NA,"1158953664209231873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gnwn_d",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:10:28,FALSE,NA,"1158953530494865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nadiah_della",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:10:24,FALSE,NA,"1158953511175856130",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rizkyabimanyu",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:08:37,FALSE,NA,"1158953064432168960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trianglhoran",5021,TRUE,FALSE,NA,NA
"RT @GrabID: Pas mau bayar bukannya nambah saldo tapi nambah followers. https://t.co/GvIcyRZYsJ",FALSE,0,NA,2019-08-07 04:08:22,FALSE,NA,"1158953001555386369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachmatfauzy1",5021,TRUE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:08:03,FALSE,NA,"1158952922907996160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nunsaramm",132,TRUE,FALSE,NA,NA
"@saturjaenight Baik Kak, sudah aku bls ya DM-nya. Thanks. -Anji",FALSE,0,"saturjaenight",2019-08-07 04:07:28,FALSE,"1158913140702060544","1158952775817936896","1162763580","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"@sukatehkotak Siang Kak Tom, sudah aku balas DM-nya ya Kak. Terima kasih -Arthur",FALSE,0,"sukatehkotak",2019-08-07 04:06:42,FALSE,"1158943108089782272","1158952583131570177","892739355848069124","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","GrabID",0,FALSE,FALSE,NA,NA
"RT @strandofweb: @dnpr Saran untuk @GrabID dan juga @gojekindonesia, tolong buatkan fitur atau keterangan pada aplikasi yang menyertakan in…",FALSE,0,NA,2019-08-07 04:06:39,FALSE,NA,"1158952569705652224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ddaIgigongju",132,TRUE,FALSE,NA,NA
